From,To,bearing,distance
A,A,13,0
A,B,76.80185433848726,1.9822336666770586
A,D,96.62938869040761,5.488557780290733
A,E,90.62373963838212,7.206692978247782
A,G,85.1308992920201,10.06887407220834
A,H,94.68974097908256,11.041070086958326
A,I,38.04080868500415,10.428869836756984
A,J,104.69706178650358,5.8108442466766315
A,K,77.56828739105498,2.886267274041713
A,L,116.20697721894555,3.260849393123945
A,M,113.37460412039633,4685.111698148223
A,N,82.26388302859192,3.337101899040634
A,O,101.73349453609785,6.689078117137169
A,R1,185.42932874803967,0.7060102974638959
A,R2,164.93406320079453,0.8875337181912781
A,RYC,3.933091219702419,1.0236728972957383
A,T,117.341417325507,0.6712084450069868
A,S/F,94.68982285978757,11.04106270589866
A,U,101.86456302504683,0.8633785699364602
A,V,94.69859122169731,1.6100729188886962
A,W,123.67237751597395,0.3766401364222276
A,X,317.9571258266402,0.7191171297545522
A,Y,298.53961766541363,0.7604411648357371
A,Z,336.82850879642604,0.7601927700357428
B,A,256.82717048441697,1.9822336666770586
B,B,13,0
B,D,107.16563809618157,3.685680465810239
B,E,95.7724124721156,5.303045703481394
B,G,87.18458571114445,8.112631239857617
B,H,98.52004288919085,9.174883132319174
B,I,30.11312939407253,8.969465118059452
B,J,117.59257644223976,4.16353652073272
B,K,79.27326537256272,0.9045996334558689
B,L,152.27491585744417,2.1385942001617044
B,M,113.40407793103515,4683.519807239159
B,N,90.16564546570106,1.3768580076581214
B,O,111.45257960904291,4.9624206563397655
B,R1,239.96845790297292,2.3068865226125146
B,R2,232.40276692031532,2.145293332296183
B,RYC,287.0288242640154,1.9446677822669094
B,T,240.3200694958017,1.5354272326481049
B,S/F,98.5201442661064,9.17487681501651
B,U,239.87896250798013,1.2546373480000705
B,V,209.11795673565874,0.6688562895438239
B,W,247.77197682262067,1.7465103160177433
B,X,271.96018884808876,2.4128342321800824
B,Y,268.0573013909178,2.5994464489527407
B,Z,276.3304673671757,2.2425646800039405
D,A,276.70702013229254,5.488557780290733
D,B,287.21796233822954,3.685680465810239
D,D,13,0
D,E,72.51764105371547,1.8401547466315504
D,G,72.07850682389329,4.816386513718569
D,H,92.85223559492903,5.558762072853867
D,I,6.364364107032657,8.900642454557884
D,J,168.71961818537523,0.8574154282070163
D,K,295.55947944036285,2.9170295070011183
D,L,252.37375945692077,2.6517968954737876
D,M,113.4578174535975,4679.8559572712165
D,N,296.86193639879264,2.402943526649442
D,O,123.58744448652521,1.316209915168982
D,R1,269.3591436655206,5.519094642723847
D,R2,267.6276817575582,5.225939200723928
D,RYC,287.1707081554727,5.63034461853983
D,T,273.91104363765817,4.866522940139874
D,S/F,92.85239559676552,5.558754168560157
D,U,275.7319866226109,4.62945105099284
D,V,277.5081582389594,3.8797782419105027
D,W,274.8037214343895,5.155941847520695
D,X,281.21099759865024,6.047249427181862
D,Y,279.33000700908633,6.200568398337496
D,Z,283.12289033809657,5.903336419322119
E,A,270.72396180620456,7.206692978247782
E,B,275.84732676756516,5.303045703481394
E,D,252.54022174706148,1.8401547466315504
E,E,13,0
E,G,71.82958786948393,2.976319229517594
E,H,102.3455087466516,3.886257200643866
E,I,354.72810809729293,8.32851616765836
E,J,228.7417674428788,2.112400697520773
E,K,279.16209109374296,4.443127462283849
E,L,252.4552820810681,4.491948216565533
E,M,113.48467422463966,4678.46596008074
E,N,277.80635204808414,3.935074697272993
E,O,207.23611074847537,1.4403822058219564
E,R1,265.19342734211773,7.299819744835258
E,R2,263.7315413440343,7.018884366797792
E,RYC,278.86098466343697,7.220290188659358
E,T,268.10887758421427,6.6140355244151285
E,S/F,102.34575366268541,3.8862519581510346
E,U,269.20809875357037,6.362103498004003
E,V,269.55368285529966,5.601858688625548
E,W,269.01664050351064,6.894050755921126
E,X,274.65543124061855,7.712209715837493
E,Y,273.31127881756765,7.88668587224633
E,Z,276.0131807421955,7.545535626955451
G,A,265.26742932556596,10.06887407220834
G,B,267.29580660774224,8.112631239857617
G,D,252.13737870914792,4.816386513718569
G,E,251.86587889672631,2.976319229517594
G,G,13,0
G,H,151.20019122934298,2.008046077566217
G,I,334.03052439244766,8.194870190892143
G,J,242.30795138758486,4.98877997125088
G,K,268.2842381262699,7.217715327247992
G,L,252.2422167752677,7.46816070197955
G,M,113.52799874588015,4676.242296486765
G,N,266.6869146735105,6.738016901697795
G,O,237.68492663865547,4.127811347126576
G,R1,261.3696341111668,10.218728086530392
G,R2,260.2309999066585,9.950170204862111
G,RYC,271.0947222656307,9.96371554859906
G,T,263.11087422231935,9.507701659541084
G,S/F,151.20061590383034,2.008055128527677
G,U,263.72669483558445,9.245399114219266
G,V,263.4601234753378,8.48541847545347
G,W,263.8920387597301,9.777099088831145
G,X,268.39002756366733,10.519007276884642
G,Y,267.50758129831314,10.711849320817871
G,Z,269.2727394691058,10.332835946633203
H,A,274.8452926136658,11.041070086958326
H,B,278.65029467461926,9.174883132319174
H,D,272.93015081525004,5.558762072853867
H,E,282.4008518908437,3.886257200643866
H,G,331.21925758473077,2.008046077566217
H,H,13,0
H,I,333.49266160342944,10.200948630902069
H,J,264.0952992815986,5.413641413818345
H,K,280.70269915317465,8.326185095038845
H,L,266.35023877414187,8.09630538571536
H,M,113.5426899907734,4674.6529342239055
H,N,280.1170988949427,7.815196788720771
H,O,264.2910423706558,4.478238798948597
H,R1,271.18985853197904,11.072710337064601
H,R2,270.39854313480896,10.7735047708469
H,RYC,280.13543771758873,11.101875670826033
H,T,273.42440199553766,10.424841949717731
H,S/F,209.91469282297192,0
H,U,274.2386631447105,10.185022900406734
H,V,274.8437816861421,9.430997190756296
H,W,273.86920822166365,10.713152422290243
H,X,277.2857565872748,11.57520314956942
H,Y,276.34600273938923,11.740602673717731
H,Z,278.220278237064,11.41613200191095
I,A,218.10386477962265,10.428869836756984
I,B,210.15083796692963,8.969465118059452
I,D,186.3496703330934,8.900642454557884
I,E,174.69079731394368,8.32851616765836
I,G,153.95686400508168,8.194870190892143
I,H,153.39993289083418,10.200948630902069
I,I,13,0
I,J,184.81769105078354,9.721194859433352
I,K,205.4808808764646,8.405810153918544
I,L,199.99622824932356,10.268716603713356
I,M,113.47320326689595,4682.474367516769
I,N,201.95386985805024,8.36761438015794
I,O,179.32812966578592,9.57455711109236
I,R1,216.1269875912936,11.030138443692246
I,R2,214.39891456413898,10.984636782376938
I,RYC,221.53242325255812,9.598464003564388
I,T,214.441552903885,10.325341605419474
I,S/F,153.40001440558217,10.20095826518466
I,U,213.69433626938846,10.077834768056075
I,V,210.08178013938718,9.638227520207195
I,W,216.03583485496557,10.406959454702681
I,X,222.03622949820803,10.3293491757632
I,Y,222.16855425379302,10.581009129980131
I,Z,221.8918012349977,10.084818355471148
J,A,284.77969908451854,5.8108442466766315
J,B,297.649910658545,4.16353652073272
J,D,348.7246348923633,0.8574154282070163
J,E,48.72420725907347,2.112400697520773
J,G,62.25410615344026,4.98877997125088
